	GSM8268694	GSM8268695	GSM8268696	GSM8268707	GSM8268708	GSM8268709
130355	176	204	166	86	14	273
1622	1722	1968	1994	1326	140	3459
140738	26	41	37	47	6	123
80775	231	266	270	121	9	378
101927764	16	14	14	18	1	47
5775	817	1028	922	660	65	1632
57669	844	1113	938	485	43	1356
105373582	26	40	40	14	1	58
79134	2142	2572	2336	1277	80	3201
5899	3337	4216	3587	1642	132	4406
105373989	152	132	119	31	2	91
3625	981	1265	1141	238	26	631
2736	1793	2029	1876	852	67	2249
23332	4918	6194	5691	3370	243	8653
107985942	41	52	48	26	2	85
100151683	12	29	21	5	0	10
254128	754	1016	814	265	29	649
84365	2191	2749	2285	621	62	1491
7247	6842	8520	6835	3443	358	8650
2995	40	34	30	51	5	129
274	2670	2981	2959	2175	182	6007
339761	771	937	883	338	25	975
2071	2871	3381	3229	1919	165	5284
10746	4888	6217	5459	2366	213	6524
100506922	56	78	64	35	0	135
105373608	15	15	18	11	3	36
55677	4218	5137	4380	2035	149	5579
4648	68	69	72	11	2	48
55679	527	601	568	230	15	679
2840	51	78	60	20	2	57
55339	4034	5131	4483	2592	212	6964
84826	304	388	322	214	15	500
5433	3278	4008	3912	1896	149	5217
83607	2999	3541	3246	1380	116	3680
107985944	42	73	59	48	1	84
79595	2740	3349	3172	1756	153	4480
56886	10128	12973	11212	5985	488	15566
9394	969	1165	1066	607	43	1703
84084	29	37	35	10	1	46
91409	62	82	75	67	5	166
55627	5782	6890	6315	3459	257	8875
80097	1733	2005	1866	1310	120	3536
84317	438	563	464	365	33	1032
92856	2265	2741	2563	773	72	2051
26469	669	776	678	472	41	1301
50649	4449	5519	4524	2198	197	5624
130074	7211	8971	7296	3555	306	8976
55041	6761	8449	6985	3252	285	8424
150786	76	68	55	46	3	67
653784	1009	1076	1091	738	64	2054
113457	41	41	55	23	2	79
100616378	15	20	16	7	1	22
150776	1276	1603	1385	849	66	2230
90557	188	207	182	166	10	437
29798	422	636	466	278	27	733
2863	981	1063	1040	548	51	1501
116372	1388	1543	1460	735	65	2016
105373623	180	307	282	74	2	217
4249	3864	4661	4125	2137	167	5443
130013	32	43	24	17	3	39
100129961	66	91	86	40	7	115
905	3367	4634	3687	1807	163	4651
22930	5628	6953	5836	2982	289	7713
84083	718	909	817	442	43	1280
23518	3274	4184	3637	1764	124	4957
107985946	136	178	154	109	11	324
23190	7040	9433	7687	4702	442	12383
3938	1	4	16	10	0	15
100507600	32	39	39	8	0	20
4175	4363	5215	4451	4044	339	10112
1615	5175	6592	5227	2249	224	5549
101928243	305	350	319	134	13	473
3176	2	14	7	12	0	27
105373637	20	28	29	11	1	37
339745	1728	2271	1811	1036	80	2548
101928386	3	10	10	6	0	16
79712	806	962	894	470	46	1196
9839	3267	4147	3623	1487	150	3786
92	322	458	411	192	20	588
5000	1795	2396	1896	1087	100	2674
55777	587	735	661	514	41	1469
26122	2044	2549	2130	1199	89	2923
3800	158	173	179	101	8	264
130576	8	16	14	9	0	17
130574	543	585	604	227	20	596
27249	4222	5528	4392	2233	193	5857
101929231	200	234	227	99	10	316
390	6358	8298	6966	906	87	2219
375287	123	207	155	145	21	419
9111	341	452	352	358	23	922
55183	11294	14813	12973	5995	562	16031
4703	254	384	350	119	4	389
101929356	192	254	242	118	7	292
26225	2908	4002	2985	1380	123	3257
785	27	41	23	18	3	70
10254	2349	3273	2499	1355	106	3109
114793	4332	5563	4697	2768	231	7198
105373690	44	55	43	16	1	74
55660	12796	17450	14861	6351	611	16005
151188	1707	2192	1669	1210	111	2882
114805	13	9	12	5	0	13
4929	7	21	17	40	4	124
440918	17	28	37	56	9	116
2820	4550	5769	4979	2746	277	6953
11227	284	317	236	384	30	978
728066	390	453	409	200	22	502
130399	10	11	10	11	1	26
90	1148	1488	1298	613	54	1669
130940	55	107	77	32	7	106
8502	4334	5517	5127	1939	145	5153
105373715	13	17	22	4	0	7
107985780	170	229	219	38	4	179
100129029	204	249	214	83	8	231
85461	3551	4479	3828	2932	226	7849
105373716	74	102	119	68	9	223
151525	387	555	417	278	25	709
29994	1738	2266	2161	1623	152	4758
643072	60	96	70	53	7	152
64844	7019	9137	7424	3590	339	8975
100526664	327	450	358	309	23	714
9936	298	402	314	240	18	546
4065	45	70	64	88	8	256
22925	528	712	622	1051	98	2939
3694	10	17	5	11	0	26
5937	5654	7566	6278	2502	236	6448
100616364	28	21	12	7	1	28
10010	1415	1777	1417	1063	83	2806
10213	5246	6583	6030	2865	244	7382
10716	21	20	19	13	0	26
285116	1075	1390	1180	502	49	1258
1803	277	376	315	349	24	927
101929532	48	37	29	42	6	116
2191	380	482	333	397	29	1089
64135	117	151	140	261	30	740
25801	182	300	206	204	21	510
55137	1328	1877	1676	789	68	2270
107985957	13	23	35	6	0	25
2888	130	145	142	32	3	87
22837	548	721	598	225	14	558
6328	152	176	176	42	9	114
6326	55	64	47	32	2	103
80034	83	95	108	206	16	543
2591	807	1054	830	201	20	459
105373730	7	18	14	6	0	24
100506124	94	88	83	61	4	116
79809	1943	2624	2105	1056	69	2667
101929680	118	134	140	32	5	85
6335	1487	2007	1734	405	34	1059
27347	2024	2552	2129	897	84	2314
253782	2988	3752	3138	1501	132	3799
100861402	912	1202	988	451	36	1154
115677	260	384	366	182	22	545
57405	1208	1458	1257	775	92	2083
10170	29	32	22	4	0	6
129880	468	594	452	198	14	500
10324	20	48	26	8	0	17
79675	696	967	726	555	59	1519
9360	5964	7499	6474	3335	302	8562
129881	62	52	58	42	2	129
493911	96	116	91	66	12	191
100526832	820	1075	928	515	46	1285
151230	813	1066	910	506	46	1255
6741	8378	10696	9027	3702	377	9854
29081	1707	2074	1736	701	64	1938
109617017	17	31	27	8	3	22
130507	3891	5001	4348	2045	201	5365
285141	31	18	21	12	2	42
2571	124	119	128	119	17	284
26003	4494	5671	4934	2308	222	5882
9874	3945	4973	4071	2090	175	5428
79828	530	663	619	337	24	825
80067	1019	1437	1088	583	61	1475
